Time, roll, rollrate, rollDesired, rollError, pitch, pitchRate, pitchDesired, pitchError, yaw, yawRate, yawDesired, yawError, throttle
8.75487,-0.267461056487,0.365853349513,0,0.267461056487,1.13397725046,-0.914633373783,0,-1.13397725046,-10.2018257127,1.46341339805,-0.0,10.2018257127,1.0
8.853349,-0.31548584014,0.426828907765,0,0.31548584014,1.12974805711,-0.792682257279,0,-1.12974805711,-10.3296668198,1.4024378398,-0.0,10.3296668198,1.0
8.951451,-0.36126388875,0.365853349513,0,0.36126388875,1.11581808445,-0.792682257279,0,-1.11581808445,-10.4641110787,1.34146228155,-0.0,10.4641110787,1.0
9.049345,-0.382580945211,0.182926674757,0,0.382580945211,1.15026522697,-0.731706699026,0,-1.15026522697,-10.602610505,1.21951116504,-0.0,10.602610505,1.0
9.148795,-0.407049317671,0.426828907765,0,0.407049317671,1.14341397477,-0.914633373783,0,-1.14341397477,-10.7304309502,1.34146228155,-0.0,10.7304309502,1.0
9.247206,-0.354761222449,0.487804466018,0,0.354761222449,1.13276393867,-0.609755582522,0,-1.13276393867,-10.862406455,1.2804867233,-0.0,10.862406455,1.0
9.346268,-0.299437514007,0.426828907765,0,0.299437514007,1.13959078668,-0.792682257279,0,-1.13959078668,-10.994550508,1.2804867233,-0.0,10.994550508,1.0
9.443533,-0.270630025691,0.365853349513,0,0.270630025691,1.15530972461,-0.792682257279,0,-1.15530972461,-11.1228865851,1.2804867233,-0.0,11.1228865851,1.0
9.542856,-0.187078198522,0.304877791261,0,0.187078198522,1.13108499641,-0.975608932035,0,-1.13108499641,-11.2502568299,1.21951116504,-0.0,11.2502568299,1.0
9.640968,-0.272193104877,0.304877791261,0,0.272193104877,1.134223439,-0.975608932035,0,-1.134223439,-11.3799081236,1.34146228155,-0.0,11.3799081236,1.0
9.738402,-0.275581047416,0.304877791261,0,0.275581047416,1.1362457671,-0.792682257279,0,-1.1362457671,-11.498988823,1.2804867233,-0.0,11.498988823,1.0
